esfp,during the school year i have been unofficially tutoring one of the elementary students that live in my neighborhood i  ve typed her as an <type> i could use some advice on discipline and or motivation in light of some recent problems for context   i am an <type> and am doing this in a friendly   neighborly kind of way sorry for the long post will highlight the key points so here are the issues academic she is now in the  th grade   but reads at the  st grade level    her parents do not speak english   so i suspect that in the early years a lack of attention to fundamental phonics has played a role    she cannot sound words out very well   and usually just guesses words based on whatever the first letter is    for example she would see the word basement and say basketball    english spelling is notoriously inconsistent   but hers is downright atrocious it pains me to see her ask for spelling to simple words like where she has very poor focus and usually cannot finish one question without going off on a tangent based on whatever random idea or memory has popped into her head i have resorted to using a timer to add pressure for her to keep working a worksheet that should take no more than    minutes takes nearly an hour and a half to complete she is a fun loving child   so i sometimes indulge her in her little side convos during reading comprehension multiple choice answers   she goes down the line guessing which answer may be correct   looking at my facial expression to gauge behavioral she is extremely sensitive to criticism and downright avoidant i offer praise whenever she tries and answers things correctly   but occasionally i will mention a systemic problem to her   and she becomes defensive she will do anything not to hear criticism   including suddenly needing a drink of water   needing to go to the bathroom   changing the subject   etc sometimes i let her do arts and crafts at my house she has become so entitled to my art supplies that she thinks she needs to leave my house with a gift every time she visits this includes her constantly asking can she have markers or cute knick knacks she finds around my home i have a pile of paper that i reserve for little drawings and random notes she asks if she can take two sheets home i say yes   minutes later she wants two more sheets it  s almost opportunistic   like she feels she has to constantly finagle more i have resorted to saying no more and more these days as i truly want her to understand that just because something is cute   does not mean that you are entitled to it she is a sweet girl   really values her friendships and playing she never runs out of energy to play the problem is   no matter how much i give   it  s never enough recently she asked if she could come over my house every day after school   and on the days that i am busy if i can call her and tell her that i have something else to do and let her know what is the something else woops   she    and possibly her parents at this point    are stepping into dangerous territory i m a freedom loving <type>   i do n t feel a need to be busy just the simple fact that i am an unpaid volunteer and she is not my child is enough for me to pump the brakes on that i do n t care if i have no plans at all i would never willingly schedule away my personal time every weeknight for the entire school year furthermore   she takes this kind of social rejection personally and starts to feel unloved in this case   i will notice her retaliating by acting cold or playing dumb while saying intentionally hurtful things this post has gotten long now   but if anyone has any ideas   tips   or tricks about any part of it   please let me know i feel myself growing resentful   which is n t a good relationship dynamic for a child if she were an adult   i would start my <type> slow fade   but she is very young and i think some behaviors can be corrected with insight 
intp,thread exists in the <type> <type> sections and seems to have been a rather useful addition   kudos to thewaffle any type can ask a question   and they will be answered by the <type>s science questions work too or the other kinds of questions any kind of questions shoot   
esfj,hi i m an <type> girl in my   s and just had a first date with an <type> guy in his   s we met on a dating app and have been talking for almost a month now he is a very busy guy and his texting style since the first has been the same   only twice a day    mornings evenings    and if i got lucky it would be   times a day but whenever he replies   just like other <type>s   he shows kindness   care   and being supportive then he asked me to meet for a coffee we talked for about       hours before he had to go because of work and charity projects when talking he seems like carefully using his expression like he  s setting up his image i could tell because i think he actually can be more expressive   you know he offered to drive me home and at the end he told me to say hi to my family for him i know that it  s just one day since that happened but during or after the date he has n t mentioned about the probability of going to a second date i texted him after date saying i had a great time and he replied kindly without any hints about our dates or how he feels about that idk if i should just forget about it   or should i text him to ask about his intention do you think he wants this to happen    sincerely   overthinking <type>
enfp,i wonder if i will just keep this thread up and fish for it every time i meet a new <type> feel free to add your own description when you guys meet one too i see from     patients a day now    used to be more but the appointments are now longer i m not a doctor i m a diabetes educator dietitian   btw    anyway   i just met another <type> and i think i will keep writing and describing us this particular gal was so quick so quick that the actual things i needed to teach her    which are complex concepts    took about    th of the time i went to re hash everything like i usually do   because usually it takes a few repetitions and i could tell she had it but the conversation all the things she was talking about took loads of time this particular girl s ne combined with what i think would often be called adhd she cannot get enough info she is constantly learning new things   doing art   cooking and taking care of her family it seems like she could have even handled a great deal more if anyone was able to give that many concepts that fast   then i think she would be the quickest person to get a ph d if anyone taught that way and tried to put something they have ever learned in fast track i gotta say nobody has ever come close to learning as fast in my office but at the same time talked so much but it s not like it wasn t relevant i think it s just more than what most people usually do in a given space of time she said she s just barely gotten onto an adhd drug    she was never really diagnosed    and says instead of looking for her keys three times in an hour each morning it s now down to once progress she knows nothing about mbti   but it was really fun to see she was very sweet and also has been through the wringer with her health she has a rare diseases and has had a major organ transplant   so there was a lot to do   but the education   like i said   was a breeze the amount of into she brought to tie into what we were discussing was impressive it made the conversation different to manage than the average human being or even than the average <type> it was fun   and i m cheering for her   she does so much   much more than the average person in a day one other thing she was able to ask questions that were conceptual based on the ones that i explained i m glad when people can just put it to use well done   <type> oh and i forgot also   in a class i was teaching today    a new group each time      there was an <type> man and he knew how to ask such good conceptual questions that i couldn t help it   i basically told the core and over view of what was happening in the body right upfront when he asked   and it s more complex than i usually go for this class   but to my mind even though everybody else had gone silent it helped explain everything that we were then going to talk about and a lot of people enjoyed that class today so i think after i repeated a few of those concepts with examples later   it made a big impact after the class   he actually gave me info on something i ve been looking for in the community for years so he got to the heart of everything fast loved it   he got excited to hear it all and so i did too 
infj,i feel my best when i can engage in all my functions   especially fe it can be tempting to be stuck with ni ti over analysis that tend to go nowhere now   when i do some self expression   or something emotional related   it could be writing   improving emotional atmosphere   a loose and enjoyable company   that  s where i felt really happy of course   this is a conclusion based on theory   and all humans need this   but even then   i find this really euphoric for the sake of theory   though   it  s me engaging with fe sure   this ni ti  s aha moment are transcending   but it can be enhanced further when it could be applied   and validated through fe as its output channel however   i  ve been unhealthy most of the time   especially with anxiety and doubts and ni ti   or basically just my introverted state   when stuck for too long   could be really unethical and irritable i want to go out there and have fun without limiting myself let  s say   theoretically   my fe se are starving   but realistically   i need more goddamn enjoyable social interaction where i can be myself without having to limit myself    fear    because   like      of my social interactions in college is just me putting a mask let  s say   my cs major is full of nt  s and i have to put in logical facade and to compete    ni ti focus    anyway   i digress writing is a good start   but when it comes to real life social interactions   street smarts   public speaking   i m just a toddler lmao how to improve fe overall   and to engage with complete immersion    my biggest problem always lies in fear   especially hesitation   due to superego audience judgmental criticism 
istj,dear brethren <type>s   i am hopelessly crushing on a friend of a friend i m    and a widow   but i feel like a teenager right now so far   i ve only been around him three times   in the context of a social gathering that the mutual friend arranges without cutie there   i m bubbly and assertive and relaxed with the others he shows up   and i get awkward and silent and stare at my shoes typical <type> reaction he s very nice to everyone   including me   and i m just sitting there tongue tied and staring at the freckles on his arms   mentally recording what he says and the shape of his eyebrows and the color of his shoe laces   to journal in detail when i get home yes   i even walked up to his truck in the dark parking lot   to see what his birth month was on the license plate    may    this past weekend   two of the gang    <type> and <type>    both asked with concern whether i was feeling all right or something bad had happened to me   because i was sitting there like a lump   not smiling   silent   and looking down at the floor well   <type> had taken my seat when i went to the bathroom so that she could talk to the person next to me   and so when i got back   i had to take her seat   which was directly in front of cutie   i was paralyzed him what city in country of childhood did you grow up in    me um   uh to add a layer of complexity   i ve typed him as <type>   so he has that easygoing physicality that <type>s have   a very physical presence without doing or saying anything i feel overwhelmed by both my feelings for him and by his physical presence bottom line if you ve had a relationship with someone you first crushed on   how did you get over the overwhelm and social paralysis    he s single and in an appropriate age group for me   and i m not in a hurry   but i would like to get to know him better   slowly like an <type> or a tortoise   which would be impossible if i m a petrified statue every time he s in the room this did not come up when i met my late husband   because i did not have a crush on him and we were friends first without me suspecting that i d develop feelings for him later will i ever feel comfortable around this guy    does an <type> crush ever morph into a relationship    how did you get over the paralysis    
entj,hello   we are specifically looking for <type> personalities to own and run our franchised locations statistically they always are in our top    so if you are <type> please see www goliathtechfranchise com and you can connect with us on the site 
istj,all the types have such unique perspectives in our world i m curious about how the different types tend to experience travel so i m asking all you <type>s do you like traveling    why or why not    if so   how much how important is it to you    is it something you enjoy or something you make a point of getting as much as you can in       what sorts of things stick with you from traveling    certain people you met   the experience of being in a new culture on the whole   particular places   the art   the natural landscapes   etc    if you like traveling   what about it attracts you    do you tend to gravitate towards what aspects of travel    do you like it as a thrilling adventure or as a way to relax    are you drawn to places where you can experience more culture or more settings landscapes    lots of questions   answer whatever you  d like   and anything else you think of
esfj,hello <type>s   in this part   of the group interview with all types that have extroverted feeling   introverted thinking   extroverted intuition   and introverted sensing in their function stack   we discussed how each type use nt    ne ti    consume rose    <type>      isaac    <type>      julie    <type>      emily    <type>      and andreas    <type>    talked about how they each individually use sf blast during this final part of this interview   isaac talked about sf blast being a double edged sword yes   you can get people to behave better and he talked about shushing people who were n t paying attention to the teacher when he was younger at the same time   the sf part of sf blast made isaac aware that it  s not cool to be shushing people so he made sure to respect the sf part later on rose used to make rude chaotic t shirts when she was younger which was very sf cool andreas does the whole rapping thing and he  s also the biggest blaster in this group probably because he is saviour di and is not as hesitant to blast even though isaac and rose have double activated blast emily uses sf blast to troll people and julie uses sf blast to be the controller in her family since her husband is even more chaotic than her watch this group interview here 
istj,so i continue to chug away at dating i go on dates and none of them end up badly with her storming off or tossing a drink at me but i just constantly get the no chemistry not feeling it the thing is i never feel this instant lightning bolt spark type reaction it is more like i am attracted which is n t a big thing i am attracted to about    of women in my age race bracket as i get to know them as a person it builds more and more and i start getting a picture of building a life together how was it when you fell in love    was it like an instant spark    
